RMSE,MAE,MAPE,R2,Directional_Accuracy,Ticker,Model
0.017934821000127003,0.01269483845680952,99.932434,-0.00278627872467041,0.0,ALL,ZeroBaseline
0.018023765995229986,0.012795645743608475,262.09375,-0.012757182121276855,51.4527027027027,ALL,LSTM
0.01571227543226985,0.011191443540155888,180.35284,-0.02292656898498535,50.33783783783784,AAPL,LSTM
0.01560451377156574,0.010974554345011711,100.0,-0.008943438529968262,0.0,AAPL,ZeroBaseline
0.020711737822790465,0.014822538010776043,189.66486,0.017142534255981445,50.33783783783784,AMZN,LSTM
0.020902885594221716,0.014783285558223724,100.0,-0.0010826587677001953,0.0,AMZN,ZeroBaseline
0.019563792357492595,0.014081570319831371,126.62063,-0.000324249267578125,50.0,GOOGL,LSTM
0.019689356599508132,0.014126892201602459,100.0,-0.013206005096435547,0.0,GOOGL,ZeroBaseline
0.012114447927001835,0.009006013162434101,135.88802,-0.07874059677124023,47.63513513513514,JNJ,LSTM
0.011810656352503305,0.008771548047661781,100.0,-0.025316238403320312,0.0,JNJ,ZeroBaseline
0.013827742467589239,0.010477227158844471,126.37001,-0.02442789077758789,55.4054054054054,JPM,LSTM
0.01370485194507379,0.010451189242303371,100.0,-0.006300091743469238,0.0,JPM,ZeroBaseline
0.024166318836805707,0.01635460928082466,165.64954,-0.014546751976013184,52.702702702702695,META,LSTM
0.02400146769769128,0.016273852437734604,100.0,-0.0007524490356445312,0.0,META,ZeroBaseline
0.018966839759704722,0.012566449120640755,181.57591,-0.0034847259521484375,58.445945945945944,MSFT,LSTM
0.01893405533774516,0.012564482167363167,100.0,-1.8596649169921875e-05,0.0,MSFT,ZeroBaseline
0.022398278180105605,0.01738801598548889,135.05684,-0.014243483543395996,49.66216216216216,NVDA,LSTM
0.022293695262780112,0.01742558926343918,100.0,-0.004794120788574219,0.0,NVDA,ZeroBaseline
0.012111998425765163,0.009512309916317463,220.05971,-0.021438002586364746,50.67567567567568,PG,LSTM
0.011987974304523514,0.009441844187676907,99.662186,-0.0006264448165893555,0.0,PG,ZeroBaseline
0.016120360004428635,0.012556275352835655,1159.6987,-0.06597590446472168,49.32432432432432,XOM,LSTM
0.015680307426122152,0.012135131284594536,99.662186,-0.00857245922088623,0.0,XOM,ZeroBaseline
0.017934821000127003,0.01269483845680952,99.932434,-0.00278627872467041,0.0,ALL,ZeroBaseline
0.018080394233438712,0.012848998419940472,197.08093,-0.019131183624267578,49.222972972972975,ALL,GRU
0.015595412273268652,0.011094334535300732,142.97133,-0.0077667236328125,54.729729729729726,AAPL,GRU
0.01560451377156574,0.010974554345011711,100.0,-0.008943438529968262,0.0,AAPL,ZeroBaseline
0.02103004994947882,0.014917481690645218,122.045265,-0.013300061225891113,50.0,AMZN,GRU
0.020902885594221716,0.014783285558223724,100.0,-0.0010826587677001953,0.0,AMZN,ZeroBaseline
0.019837953802090604,0.014201351441442966,118.014,-0.028557181358337402,50.33783783783784,GOOGL,GRU
0.019689356599508132,0.014126892201602459,100.0,-0.013206005096435547,0.0,GOOGL,ZeroBaseline
0.01201755093277425,0.00897329580038786,163.19498,-0.061553001403808594,44.5945945945946,JNJ,GRU
0.011810656352503305,0.008771548047661781,100.0,-0.025316238403320312,0.0,JNJ,ZeroBaseline
0.013871174540528832,0.010643372312188148,128.53207,-0.03087329864501953,46.28378378378378,JPM,GRU
