Rank,Family,Model,RMSE,MAE,MAPE,R2,Directional_Accuracy
1,DL,Transformer,0.0179184407276919,0.0126768266782164,156.04218,-0.0009554624557495,52.87162162162162
2,DL,GRU,0.0180801238034901,0.012848800048232,197.12863,-0.0191006660461425,49.18918918918919
3,DL,LSTM,0.0180859991102425,0.0128503730520606,268.8006,-0.0197631120681762,51.38513513513514
4,DL,BiLSTM,0.0180904214315674,0.0128847081214189,273.21338,-0.0202618837356567,50.810810810810814
5,ML,RandomForest,0.0192378710565282,0.0132584189432655,174.86956935511074,0.0257504135414479,52.86516853932584
6,ML,Ridge,0.0195762710401355,0.0135120253250179,176.7316992202518,-0.0088257286769499,48.98876404494382
7,ML,XGBoost,0.0197216696852257,0.0135632462867933,207.81365020931156,-0.023867062981477,51.17977528089887
8,ML,SVR,0.0276788210617908,0.0216152100185023,1113.2040367797722,-1.0167468496032046,49.43820224719101
