Ticker,Series,ADF_Statistic,p_value,1%_Critical,5%_Critical,Stationary_5%
AAPL,Returns,-16.077843415421047,5.418768281152825e-29,-3.433125086901646,-2.8627659864448662,True
AAPL,Price (Close),0.12057286150365933,0.967437952262619,-3.433064043542036,-2.862739030792749,False
AMZN,Returns,-18.963223013482423,0.0,-3.4331239097346398,-2.8627654666342472,True
AMZN,Price (Close),-1.0077356064817036,0.7504324704425043,-3.433058423074162,-2.8627365488673258,False
GOOGL,Returns,-16.376285257861365,2.779129903368785e-29,-3.433125086901646,-2.8627659864448662,True
GOOGL,Price (Close),1.1522597161353167,0.9956388612784314,-3.4330879064776165,-2.8627495683023896,False
JNJ,Returns,-11.919262296637763,5.077639581964946e-22,-3.43313454032826,-2.862770160859186,True
JNJ,Price (Close),1.3005531337590737,0.9966120311762047,-3.4330867606360274,-2.862749062318083,False
JPM,Returns,-14.283881601368758,1.3099157150993457e-26,-3.4331298055777806,-2.862768070104647,True
JPM,Price (Close),2.1200341806944887,0.9988099890750706,-3.4330879064776165,-2.8627495683023896,False
META,Returns,-50.81885239400586,0.0,-3.4331156974460857,-2.862761840265617,True
META,Price (Close),-0.939839121034276,0.7745699671334216,-3.43305954530467,-2.862737044430077,False
MSFT,Returns,-16.340325688141323,3.000306171346704e-29,-3.433125086901646,-2.8627659864448662,True
MSFT,Price (Close),-0.6629595903512949,0.8561120174382899,-3.433058423074162,-2.8627365488673258,False
NVDA,Returns,-17.608913020066183,3.888320539709231e-30,-3.4331239097346398,-2.8627654666342472,True
NVDA,Price (Close),1.6688087985326705,0.9980500034094575,-3.4330890532791027,-2.8627500747103762,False
PG,Returns,-15.804126279158007,1.0654576447872679e-28,-3.433125086901646,-2.8627659864448662,True
PG,Price (Close),-1.491005697289177,0.5379559069894149,-3.433068556739703,-2.86274102375869,False
XOM,Returns,-10.818252260152885,1.8335180747974638e-19,-3.4331357265371256,-2.8627706846606245,True
XOM,Price (Close),0.7279040939345571,0.990378604772369,-3.4330799056770074,-2.8627460352798253,False
