Date,Close,High,Low,Open,Volume,is_outlier
2017-01-03,115.84272003173828,116.81418477677228,114.50447345922346,115.0199434679995,20663900,False
2017-01-04,117.65679168701172,118.61834893035878,116.26897734289162,116.52671612923756,19630900,False
2017-01-05,119.61955261230467,119.89711397154652,117.29001113240513,117.82531128079144,19492200,False
2017-01-06,122.33570098876952,122.80160321506224,118.98511955765264,119.92685420232482,28545300,False
2017-01-09,123.81273651123048,124.33812160659222,121.96892736257747,122.47448988733204,22880400,False
2017-01-10,123.26750946044922,124.4075000170258,123.1981191255087,123.73341923632672,17324600,False
2017-01-11,124.99237823486328,125.02212343665214,122.98005067036532,123.26752711714794,18356500,False
2017-01-12,125.51775360107422,125.6267966369815,123.7135973201256,124.516543709098,18653900,False
2017-01-13,127.2227783203125,128.14469040284416,126.26122866190144,126.38017920443748,24884300,False
2017-01-17,126.75686645507812,127.22276864956164,126.2909566976156,126.92537718986844,15294500,False
2017-01-18,126.80643463134766,127.31198955645034,125.73583438469583,127.29217455026046,13145900,False
2017-01-19,126.43965911865234,127.23269801114922,126.34052358485567,127.11373234540147,12195500,False
2017-01-20,125.93409729003906,127.36155671578022,125.6763585141913,126.9848749625048,19097200,False
2017-01-23,127.8076400756836,128.12486169391622,125.84488047223688,126.20174722976896,16593600,False
2017-01-24,128.24380493164062,128.76918997169253,127.26243274880632,128.25372756036967,15162700,False
2017-01-25,130.33544921875,130.59319557336823,128.6403434102612,128.868337001996,18731300,False
2017-01-26,131.6241455078125,131.98101230368118,130.29581387217496,130.48416233748912,20020100,False
2017-01-27,131.02935791015625,131.79265924923342,129.9389425517207,131.52500538016162,19539500,False
2017-01-30,129.83981323242188,130.43459627532897,128.4718364352734,130.43459627532897,18956100,False
2017-01-31,129.185546875,129.52258348010565,128.3925080019597,129.0368435779533,19790500,False
2017-02-01,132.07022094726562,132.32796731291714,129.54241581882755,131.09875613893414,50139800,False
2017-02-02,129.70103454589844,134.3105653848427,129.26486232447974,132.06032149304792,54366400,False
2017-02-03,129.83981323242188,131.69354514477098,129.6217271250867,130.0975596097968,24804900,False
2017-02-06,130.91041564941406,130.91041564941406,129.1657418898348,129.83981523127633,17058500,False
2017-02-07,130.6923065185547,131.84221214948707,130.51388070994037,131.08883352540656,14596400,False
2017-02-08,133.03176879882812,133.26968501345638,131.28709526943223,131.44570607918442,22390600,False
2017-02-09,132.97230529785156,133.3291720884054,132.14952866613126,133.3192645841536,16470600,False
2017-02-10,133.0218505859375,133.7653216800901,132.51628056130053,132.93263768486915,15061900,False
2017-02-13,132.88307189941406,133.52740747356071,132.5361126665915,133.52740747356071,13526200,False
2017-02-14,132.68484497070312,133.0615267940497,131.3961584147195,132.93266872662454,14364900,False
2017-02-15,132.2783660888672,132.53609726338092,131.50515743936938,132.28827359044044,13226500,False
2017-02-16,132.67489624023438,132.70463387501806,131.8620423462157,131.91161011284143,12831100,False
2017-02-17,132.36761474609375,132.92273750331933,132.01074795559722,132.33787710738244,12276500,False
2017-02-21,132.55592346191406,132.74427186791695,131.74305457831343,132.33783742611664,14759100,False
