Date,Close,High,Low,Open,Volume,is_outlier
2017-01-03,56.04969787597656,56.282565037111176,55.64665527340829,56.23778328496552,20694100,False
2017-01-04,55.798919677734375,56.201962321934616,55.63770262005428,55.96013673541447,21340000,False
2017-01-05,55.798919677734375,56.12135379309456,55.55709409121423,55.70039776285998,24876000,False
2017-01-06,56.28257369995117,56.560226072595526,55.56605530545033,55.798922502427146,19922900,False
2017-01-09,56.10344314575195,56.49753082448694,56.0138796278372,56.21092005057549,20382700,False
2017-01-10,56.08552932739258,56.48857198816686,55.781008585544136,56.18405124631842,18593000,False
2017-01-11,56.59604644775391,56.631873219748506,55.91535486300164,56.07657192034832,21517300,False
2017-01-12,56.07658004760742,56.78414352221834,55.48545189053957,56.47962274938766,20968200,False
2017-01-13,56.15719223022461,56.309450918200426,55.84371303445067,56.08553867120322,19422300,False
2017-01-17,56.00493240356445,56.15719451436313,55.55710789135522,56.13928112387917,20664000,False
2017-01-18,55.9780502319336,56.15718067600159,55.63770272986731,56.13030888858251,19670100,False
2017-01-19,55.798919677734375,56.407961136386064,55.70935616419167,55.74518293626036,18451700,False
2017-01-20,56.193016052246094,56.26466619086672,55.86162348415831,56.1303174830874,30213500,False
2017-01-23,56.39005661010742,56.53336030426841,56.04075406912936,56.15718938833191,23097600,False
2017-01-24,56.8916130065918,57.08865683875521,56.372135055116985,56.60500565978813,24672900,False
2017-01-25,57.03491973876953,57.41109062038744,56.82892091074603,57.27674534122215,23672700,False
2017-01-26,57.56333923339844,57.80516821024517,56.91847448944557,57.42899739432506,43554600,False
2017-01-27,58.915794372558594,59.03223312423611,58.118667251772855,58.56649178404619,44818000,False
2017-01-30,58.33360290527344,58.92473438331898,58.038043999508616,58.83517087147333,31651400,False
2017-01-31,57.90370941162109,58.351533913128975,57.55440684710571,58.09179488226325,25270500,False
2017-02-01,56.945350646972656,57.87682619120503,56.846828735248025,57.64395559683248,39671500,False
2017-02-02,56.57812881469727,56.7930860139,56.201957986878455,56.64978235330776,45827000,False
2017-02-03,57.03491973876953,57.05283312598409,56.48857338692798,56.873702670467786,30301800,False
2017-02-06,56.99909973144531,57.00805813443079,56.55127524780211,56.87370942268596,19796400,False
2017-02-07,56.81101989746094,57.124495700420255,56.63188940292847,57.088672334817765,20277200,False
2017-02-08,56.73038864135742,57.15134462254101,56.622911754303885,56.936387431805294,18096400,False
2017-02-09,57.375274658203125,57.71562566278884,56.71249628951172,56.89162677878477,22644400,False
2017-02-10,57.32152938842773,57.59022679073951,57.30361600049832,57.54544161260128,18170700,False
2017-02-13,57.96641540527344,58.091805742476495,57.43797884140838,57.53650079681948,22920100,False
2017-02-14,58.18265914916992,58.31782234714602,57.68706304815286,58.03849011276503,23108400,False
2017-02-15,58.1466064453125,58.18265041767605,57.81321173164808,58.11957518471104,17005200,False
2017-02-16,58.1375846862793,58.78636233849189,58.06550362745413,58.33582306608689,20546300,False
2017-02-17,58.22769927978516,58.29077450427695,57.93935441429638,58.0925361202502,21248800,False
2017-02-21,58.110572814941406,58.525068258863136,58.07452883616308,58.21870475127639,20655900,False
2017-02-22,57.99342346191406,58.02045472192969,57.71409127550642,57.96639220189845,19292700,False
2017-02-23,58.22769927978516,58.32681847179854,57.840235222283,58.047479442177256,20273100,False
2017-02-24,58.22769927978516,58.389893696290336,57.79517854421006,58.14659863419063,21796800,False
2017-02-27,57.87628936767578,58.15562157173534,57.7140949226478,58.15562157173534,15871500,False
2017-02-28,57.65101623535156,57.84925121684772,57.45277781651288,57.7411261699794,23239800,False
2017-03-01,58.51606369018555,58.56111350862169,57.68706590966393,57.786185134784056,26937500,False
2017-03-02,57.67805480957031,58.34485118390297,57.56091360535515,58.29078865683656,24539600,False
2017-03-03,57.89431381225586,57.92134507673209,57.32663319685477,57.66003483299511,18135900,False
2017-03-06,57.91231155395508,58.17362514113672,57.49781971066895,57.641992131641295,18750300,False
2017-03-07,58.02947235107422,58.37187979809642,57.84024664024469,57.84024664024469,18521000,False
2017-03-08,58.56111145019531,58.64221212002753,57.89431503847744,57.90332775172234,21510900,False
2017-03-09,58.32684326171875,58.75034459205403,58.10157352497822,58.7413387523589,19846800,False
2017-03-10,58.50705337524414,58.804411062795324,58.34485889791499,58.66924785257329,19538200,False
2017-03-13,58.30879592895508,58.74131668588042,58.1826454737444,58.579122261368944,20100000,False
2017-03-14,58.03847503662109,58.16462548871357,57.80419267929906,58.146600067166624,14280200,False
2017-03-15,58.3448600769043,58.49804184339765,57.89432061685098,58.1646470427576,24833800,False
2017-03-16,58.245731353759766,58.35386328143812,57.93936787069929,58.344850568793554,20674300,False
2017-03-17,58.45297622680664,58.78637093735542,58.28176907835096,58.48902019883335,49219700,False
2017-03-20,58.50705337524414,58.73232310071872,58.31782763080787,58.48903482206821,14598100,False
2017-03-21,57.85826873779297,59.02066121103362,57.78618078409921,58.741328983827366,26640500,False
2017-03-22,58.59714126586914,58.69626046354863,57.777163300602005,57.777163300602005,20680000,False
2017-03-23,58.45297622680664,58.78637093735542,58.3628628593975,58.5160514591822,19269200,False
2017-03-24,58.55211639404297,58.97561774893816,58.35387791426508,58.89452393885839,22617100,False
2017-03-27,58.66022872924805,58.76836066054814,57.98441962666527,58.23672059167979,18614700,False
2017-03-28,58.8314323425293,58.99362679232391,58.25474249318963,58.5340747054583,20080400,False
2017-03-29,58.99362564086914,59.02065690285976,58.52506085074795,58.67824945983669,13618400,False
2017-03-30,59.20987701416016,59.45317209844646,58.89450086294133,58.94856338181184,15122800,False
2017-03-31,59.34504699707031,59.64240463435496,58.97560140989509,59.15582128462152,21040300,False
2017-04-03,59.06571960449219,59.417139795528776,58.741330678199056,59.29999514872602,20400900,False
2017-04-04,59.227909088134766,59.29999016316192,58.8224195270164,58.92153873919965,12997400,False
2017-04-05,59.0747184753418,59.78657148659809,58.96659342912086,59.74152167556771,21448600,False
2017-04-06,59.227909088134766,59.52525984999925,59.00263940129743,59.11076445118078,18103500,False
2017-04-07,59.182865142822266,59.43516614645024,58.96660812181067,59.33604691292685,14108500,False
2017-04-10,59.04768753051758,59.30900118476158,58.89450579775957,59.11977547817491,17952700,False
2017-04-11,59.00262451171875,59.11976224442724,58.43494064434768,59.11074953431627,18791500,False
2017-04-12,58.77737808227539,59.029679067502286,58.669246142312616,58.94857839385865,17108500,False
2017-04-13,58.52507019042969,59.34505526665593,58.52507019042969,58.831440582813926,17896500,False
2017-04-17,59.00262451171875,59.01163034714619,58.57911650738907,58.60614776303845,16689300,False
2017-04-18,58.92153930664063,59.209884233581896,58.714295042578165,58.867476781178304,15155600,False
2017-04-19,58.60616683959961,59.24593197205418,58.47100364267298,59.15582546566501,26992800,False
2017-04-20,59.02065658569336,59.24592626731814,58.69626769417886,58.98461261167118,22299500,False
2017-04-21,59.83162689208984,60.101946376543154,58.975598004608806,59.17383641801883,32522600,False
2017-04-24,60.84983825683594,60.966982877519165,60.46237417430499,60.804788450536805,29770000,False
2017-04-25,61.20127868652344,61.309410631969705,60.91293370668664,61.18326013295902,30242700,False
2017-04-26,61.12017440795898,61.55268836624154,60.93094869187468,61.34544409968106,26190800,False
2017-04-27,61.516632080078125,61.61575127457524,60.89489253013194,61.40850704948785,34971000,False
