Date,Close,High,Low,Open,Volume
2017-01-03,64.61888122558594,64.76469768210373,64.08167194653407,64.37329900442766,8792700
2017-01-04,64.84910583496094,64.92584916787945,64.64956848526005,64.81073124093119,8096700
2017-01-05,65.27888488769531,65.56284171106134,64.7570219330839,64.78005020671523,6852400
2017-01-06,65.25584411621094,65.42468294450308,64.94119472678135,65.186776880168,4799900
2017-01-09,64.77237701416016,64.97191440856699,64.27353645571421,64.51144259760625,11000600
2017-01-10,64.07398986816406,64.79539013703209,63.88212859283887,64.72631703324146,10918200
2017-01-11,64.2735366821289,64.2735366821289,63.9128364946721,63.99725593663613,9572300
2017-01-12,64.34260559082031,64.37330410278916,63.98191124925681,64.24283981827838,6545400
2017-01-13,64.47305297851562,64.48072321244423,64.03560958382856,64.35025897397308,6762800
2017-01-17,65.39399719238281,65.67795399124597,64.3732937897266,64.38864597082274,13145100
2017-01-18,65.69564819335938,65.98185530724948,65.43264594516852,65.59509180814847,10520400
2017-01-19,65.51774597167969,65.74980647278936,65.1928659913611,65.46359930829325,14074500
2017-01-20,67.64493560791016,68.0549098862275,66.8482037207381,67.21176236475863,22944400
2017-01-23,67.26593017578125,67.56760533664695,67.18084170460942,67.36648659555492,9408900
2017-01-24,67.96208953857422,68.03170414284666,67.46703268082597,67.46703268082597,8704700
2017-01-25,67.42062377929688,67.99303217161521,67.34326634931215,67.94661653331572,8082900
2017-01-26,66.9874496459961,67.4747755248383,66.97971272210583,67.38968706667676,6542300
2017-01-27,67.08026885986328,67.18082525501516,66.53879636666645,66.87141324483744,9332300
2017-01-30,67.10347747802734,67.18856593312009,66.91009569855176,67.12668234731744,7350000
2017-01-31,67.76099395751953,67.80740961107568,66.93331993790238,67.01067149176893,9712400
2017-02-01,67.5521469116211,67.75325977952156,67.10349961883605,67.32008633906455,8291000
2017-02-02,67.88475799560547,68.34113627319286,67.49025741729527,67.76872771945011,8997200
2017-02-03,67.6139907836914,68.20186699268345,67.59851694045675,68.16319418768089,7161900
2017-02-06,67.60629272460938,67.90796792413651,67.39743703167802,67.683644280621,7483000
2017-02-07,68.07811737060547,68.28696707757278,67.66814897806526,67.79191023734955,6646100
2017-02-08,68.32566833496094,68.33339935890623,67.92343083109577,68.12454958302835,6815800
2017-02-09,68.58867645263672,68.67376494286789,68.09361936486229,68.32567995668293,9914100
2017-02-10,68.04718780517578,68.63507012163343,68.04718780517578,68.50356601424373,11057600
