Date,Close,High,Low,Open,Volume
2017-01-03,115.84272003173828,116.81418477677228,114.50447345922346,115.0199434679995,20663900
2017-01-04,117.65678405761719,118.61834123861256,116.2689698034892,116.52670857312222,19630900
2017-01-05,119.61956024169922,119.89712161864406,117.29001861322033,117.82531879574837,19492200
2017-01-06,122.33570861816406,122.80161087351247,118.98512697809012,119.92686168149302,28545300
2017-01-09,123.812744140625,124.33812926836121,121.96893487835571,122.47449743426321,22880400
2017-01-10,123.26752471923828,124.4075154169297,123.19813437570821,123.73343455278888,17324600
2017-01-11,124.99237060546875,125.022115805442,122.980043163801,123.26751959303638,18356500
2017-01-12,125.51774597167969,125.62678900095896,123.7135898003938,124.51653614056039,18653900
2017-01-13,127.22278594970703,128.14469808752463,126.261236233633,126.38018678330236,24884300
2017-01-17,126.75688934326172,127.22279162187208,126.290979501671,126.9254001084796,15294500
2017-01-18,126.80643463134766,127.31198955645034,125.73583438469585,127.29217455026046,13145900
2017-01-19,126.4396743774414,127.23271336564254,126.34053883168104,127.11374768553799,12195500
2017-01-20,125.9341049194336,127.36156443165372,125.67636612797139,126.984882655558,19097200
2017-01-23,127.80764770507812,128.1248693422471,125.84488798446574,126.20175476330074,16593600
2017-01-24,128.24380493164062,128.76918997169253,127.26243274880633,128.25372756036967,15162700
2017-01-25,130.33544921875,130.59319557336823,128.6403434102612,128.868337001996,18731300
2017-01-26,131.62411499023438,131.9809817033621,130.2957836625758,130.48413208422062,20020100
2017-01-27,131.02932739257812,131.7926285538775,129.9389122881073,131.524974747144,19539500
2017-01-30,129.8397979736328,130.43458094664092,128.47182133724908,130.43458094664092,18956100
2017-01-31,129.18556213378906,129.5225987787039,128.39252316707874,129.0368588191783,19790500
2017-02-01,132.0702362060547,132.32798260148505,129.54243078556556,131.0987712854846,50139800
2017-02-02,129.70103454589844,134.3105653848427,129.26486232447974,132.06032149304792,54366400
2017-02-03,129.8397979736328,131.69352966813113,129.62171189192713,130.09754432071733,24804900
2017-02-06,130.91041564941406,130.91041564941406,129.1657418898348,129.83981523127633,17058500
2017-02-07,130.6923065185547,131.84221214948707,130.51388070994037,131.08883352540656,14596400
2017-02-08,133.0317840576172,133.26970029953452,131.28711032810668,131.44572115605155,22390600
2017-02-09,132.9722900390625,133.3291567886653,132.14951350175716,133.3192492855504,16470600
2017-02-10,133.0218505859375,133.7653216800901,132.51628056130053,132.93263768486915,15061900
2017-02-13,132.88307189941406,133.52740747356071,132.5361126665915,133.52740747356071,13526200
2017-02-14,132.68484497070312,133.0615267940497,131.3961584147195,132.93266872662454,14364900
2017-02-15,132.27838134765625,132.5361125519002,131.50517260896603,132.28828885037237,13226500
2017-02-16,132.67489624023438,132.70463387501806,131.8620423462157,131.91161011284143,12831100
2017-02-17,132.3676300048828,132.92275282610063,132.01076317324814,132.33789236274345,12276500
2017-02-21,132.55596923828125,132.74431770932767,131.7431000739675,132.3378831271708,14759100
2017-02-22,134.93505859375,135.5992243697369,132.29822562331302,132.43700630596757,27360100
2017-02-23,134.18167114257812,134.93504978122027,133.1606386598825,134.70705620159785,18422500
2017-02-24,134.260986328125,134.43941215318864,132.99213004113886,132.99213004113886,12625700
2017-02-27,135.22256469726562,135.98585101368076,133.84466514921286,134.08256628639683,14306700
2017-02-28,134.360107421875,135.61905621135784,133.57699108688087,135.59922607759745,16112100
2017-03-01,136.22373962402344,136.28321489624622,135.11349420663987,135.28201251992422,16257000
2017-03-02,135.56948852539062,136.62027385191215,135.1234088342414,135.8966176658228,12294800
2017-03-03,135.97592163085938,136.13453244743778,134.89541380409398,135.44062903235726,11160600
2017-03-06,136.22373962402344,136.63017415215825,135.32165765941963,135.68844704805903,12748200
2017-03-07,136.1047821044922,137.16545969867946,135.79748312978336,135.837128267247,13527100
2017-03-08,136.52113342285156,136.7887872783457,135.8569676618517,135.95608807524832,10184500
2017-03-09,137.0365753173828,137.36370436092466,136.2038763311146,136.5210978736845,15535300
2017-03-10,137.581787109375,138.27570551200208,137.01675698621398,137.70075276105916,16314100
2017-03-13,138.384765625,138.464055901305,137.46285355889685,137.5025138230082,10955500
2017-03-14,138.1072235107422,138.24600420253864,137.31418450363623,138.24600420253864,12944000
2017-03-15,138.5037078857422,138.88040474248697,137.28441954148659,138.07744326480076,19344800
2017-03-16,138.77134704589844,139.029078216142,138.51360074969853,138.97951045718384,13612900
2017-03-17,138.62269592285156,139.1183434469973,138.48391522112922,139.1183434469973,20592800
2017-03-20,138.72181701660156,138.96964075283933,138.03782108443167,138.49382341453176,12099500
2017-03-21,137.3042449951172,141.0711684713505,137.19520195596974,139.92126280869712,29894800
2017-03-22,138.37486267089844,138.57311864176773,136.4021953407015,136.7293093733573,17055400
2017-03-23,138.3153839111328,139.1678981777798,137.87921171062123,138.26581613817274,13022800
2017-03-24,139.1183319091797,139.79242035161244,138.54337901373904,138.86060066334525,16664700
2017-03-27,139.09852600097656,139.42564005033807,137.5620156778381,137.8395770764224,12800500
2017-03-28,140.52597045898438,140.71431892472097,138.7912042496688,139.1381635419163,14679400
2017-03-29,141.408203125,141.61638169718904,140.19882220799045,140.75396002517493,16527600
2017-03-30,141.17030334472656,141.70559590878236,140.61518064838455,141.16038071560394,12404000
2017-03-31,140.8134307861328,141.38838359104963,140.6548199863023,141.0711619913886,11478300
2017-04-03,141.04144287109375,141.2297913298714,139.59416072904716,140.6944835916654,13564000
2017-04-04,140.49620056152344,140.85306727625513,140.04021344745138,140.6250737192191,12948600
2017-04-05,140.6151885986328,142.1913438704237,140.0600507449448,141.02160801474525,17158100
2017-04-06,139.9410858154297,140.98194838593602,139.68335461145867,140.87290535234092,15103400
2017-04-07,139.55445861816406,140.31775972846896,139.01916616641566,139.9708005530697,11818300
2017-04-10,139.81224060058594,140.19884504680843,139.40582114499094,139.7725954558796,9039400
2017-04-11,138.7019805908203,139.80231853484233,137.6016426467983,139.57432494311445,16638100
2017-04-12,138.36495971679688,139.17781376188134,138.22617902002824,138.5037404135655,11612500
2017-04-13,138.17662048339844,139.35626404778975,138.11714519880098,138.40461411634288,10965600
2017-04-17,140.18893432617188,140.31780751394345,138.53347352386427,138.54338102832324,11519700
2017-04-18,139.73292541503906,140.67465247513135,139.38596617534043,140.04022439113626,14807500
2017-04-19,141.03152465820312,141.7948108134509,140.04022979334803,140.11953519765154,15563900
2017-04-20,142.54820251464844,142.9942821721427,141.44786462565114,141.70559584141338,15968200
2017-04-21,142.42922973632812,142.91496963412595,141.0315155627533,142.64731580260812,12382000
2017-04-24,144.2036590576172,144.40191499695086,143.083491067742,143.69810414342254,14407200
2017-04-25,145.21478271484375,145.869025796205,144.52086424443638,144.52086424443638,17767500
2017-04-26,145.28414916992188,146.30518150336184,144.81823944969705,145.80953415214023,12395000
2017-04-27,146.4142608642578,146.46382863687356,144.86784316479375,145.39322827740756,11275100
2017-04-28,148.94203186035156,150.21088789341144,147.77231134979456,148.1985608194513,30652200
2017-05-01,151.13282775878906,151.24187080329597,150.10187258782193,150.4190942176456,25218300
2017-05-02,151.4500274658203,152.10428570349973,150.33978206318312,152.0051501671389,21870400
2017-05-03,150.4785614013672,152.2628951582923,150.02255911450226,152.2628951582923,29782500
2017-05-04,149.53683471679688,150.20100045359757,147.42537183830993,148.86274635084632,36225500
2017-05-05,148.93215942382812,150.31005880567795,148.4860645934915,150.13161784835117,17148500
2017-05-08,149.74501037597656,149.7648405099342,148.4365089280184,149.39806622449962,15827500
2017-05-09,149.17001342773438,151.26164572647897,148.90237476519948,150.17123069632876,17453900
2017-05-10,148.9817352294922,149.20974399518406,147.5641904845287,148.9222599431249,12080700
2017-05-11,148.73387145996094,149.33856191870754,148.10936599506186,149.00152530260848,11841900
2017-05-12,149.0213623046875,149.15023548041427,148.32745890838868,149.0907450813376,9598200
2017-05-15,148.882568359375,150.16133199532825,148.46622635869352,148.86273822811637,15064700
2017-05-16,148.4761505126953,148.9024151897901,147.73267932967968,148.80327964833737,14550800
2017-05-17,143.58908081054688,147.37581968708267,143.1628161128287,146.7116538799038,28300100
2017-05-18,146.37461853027344,146.8603433837302,143.25203030709343,143.46020890568977,23031600
2017-05-19,146.7711181640625,148.08954217542922,146.67199775119826,147.15772256393998,16187900
2017-05-22,146.94956970214844,147.29651386112334,146.40435445123288,146.79095887898018,12586700
2017-05-23,146.7810516357422,147.5146002237686,145.96818251002998,147.22713134148054,12817800
2017-05-24,148.73387145996094,148.92221990012186,147.12797865599347,147.21719156155635,17862400
2017-05-25,150.6371612548828,151.2616666799294,148.6446490687096,148.99160829170276,19891400
2017-05-26,150.8056640625,150.924614583442,149.83418438828582,150.90478445463287,14996200
2017-05-30,151.0535125732422,151.56897499939868,150.31994894623028,150.6470780585751,13226000
2017-05-31,150.1415252685547,152.01507193790442,149.77473588685828,151.37072120711613,18023900
2017-06-01,150.21092224121094,150.9643009562491,148.99163369059534,150.42900833981997,14530600
2017-06-02,152.27279663085938,152.2926267623618,149.98290803597695,150.52812320760572,16854400
2017-06-05,152.29263305664062,153.36323331264384,152.07454697897558,152.30254055982212,12520400
2017-06-06,151.4797821044922,153.17490316039363,151.15265294893362,152.07456513750063,13457100
2017-06-07,151.7870635986328,152.41158419858272,151.01385482058015,151.9357669026947,12066700
2017-06-08,153.3632354736328,153.383050480275,151.76725013330054,152.73871486734126,17799400
2017-06-09,148.29769897460938,154.23554477939854,145.33372226025782,153.42269095908173,35577700
2017-06-12,147.14781188964844,147.9011905402127,143.30158298075054,146.88015804135935,33170200
2017-06-13,149.36827087402344,149.8639181999276,147.60376760388104,148.84288591864149,20483400
2017-06-14,148.94203186035156,151.0733094605495,147.75248122010257,149.94323408341938,20808800
2017-06-15,148.4959259033203,148.733826913569,145.09577774762388,146.384463681637,18994200
2017-06-16,149.3286590576172,149.51700750363304,147.30642417220145,148.28779641581758,22882400
2017-06-19,151.53924560546875,152.23316413203648,150.38935502415814,150.38935502415814,19026500
2017-06-20,150.9246368408203,152.50079197956828,150.88499170331184,151.54915741977874,14743900
2017-06-21,152.5701904296875,152.73870873513582,150.55786314127224,151.0336804228886,15039800
2017-06-22,152.0646209716797,153.20461910250506,151.57889618527363,151.67801659276364,13005500
