Date,ticker,Positive_Prob,Negative_Prob,Neutral_Prob,Sentiment_Score,Article_Count,Positive_Count,Negative_Count,Neutral_Count,Has_News
2026-08-04,XOM,0.37693843,0.32960218,0.2934594,0.04733625,36,13,11,12,1
2026-08-05,JNJ,0.55864793,0.3468676,0.09448453,0.21178031,7,4,3,0,1
2026-08-05,JPM,0.3603157,0.2695769,0.3701074,0.090738796,20,8,5,7,1
2026-08-05,PG,0.27536795,0.2926296,0.43200245,-0.01726164,5,1,2,2,1
2026-08-05,XOM,0.42539874,0.25033668,0.32426456,0.17506208,11,4,3,4,1
2026-08-06,JNJ,0.20407125,0.37842348,0.41750526,-0.17435221,7,1,3,3,1
2026-08-06,JPM,0.24656068,0.41351438,0.33992493,-0.16695373,27,6,11,10,1
2026-08-06,PG,0.09781847,0.06452139,0.83766013,0.033297084,5,0,0,5,1
2026-08-06,XOM,0.29628155,0.31300423,0.3907142,-0.016722672,13,4,5,4,1
2026-08-07,JNJ,0.3691715,0.13050835,0.5003202,0.23866314,9,3,1,5,1
2026-08-07,JPM,0.14671013,0.26839662,0.5848933,-0.121686496,14,1,4,9,1
2026-08-07,PG,0.33095053,0.23537171,0.43367776,0.09557881,6,2,2,2,1
2026-08-07,XOM,0.45712954,0.2890381,0.25383234,0.16809145,17,8,6,3,1
2026-08-08,JNJ,0.06448999,0.088697396,0.84681267,-0.0242074,3,0,0,3,1
2026-08-08,JPM,0.46474975,0.035519827,0.49973044,0.42922992,2,1,0,1,1
2026-08-08,PG,0.23968633,0.3198454,0.44046825,-0.08015907,4,1,1,2,1
2026-08-08,XOM,0.1924491,0.12188717,0.68566376,0.07056192,3,0,0,3,1
2026-08-09,JNJ,0.25018278,0.12549683,0.6243204,0.12468593,5,1,0,4,1
2026-08-09,JPM,0.33110926,0.42153195,0.2473588,-0.09042269,6,2,2,2,1
2026-08-09,PG,0.12855877,0.16302036,0.7084209,-0.03446158,4,0,0,4,1
2026-08-10,JNJ,0.4103789,0.17127807,0.41834304,0.23910084,13,5,2,6,1
2026-08-10,JPM,0.3789591,0.13362223,0.48741868,0.24533683,25,9,2,14,1
2026-08-10,PG,0.2731636,0.2401584,0.486678,0.033005197,9,3,2,4,1
2026-08-10,XOM,0.45530263,0.32123545,0.22346188,0.13406718,12,6,4,2,1
2026-08-11,JNJ,0.54939675,0.123613,0.32699025,0.42578372,11,6,1,4,1
2026-08-11,JPM,0.5484971,0.14515325,0.3063497,0.4033438,8,5,1,2,1
2026-08-11,PG,0.10402793,0.26587597,0.6300961,-0.16184804,7,0,2,5,1
2026-08-11,XOM,0.33160535,0.24035029,0.42804435,0.09125506,11,4,2,5,1
2026-08-12,JNJ,0.24194752,0.12802126,0.6300313,0.11392627,15,3,1,11,1
2026-08-12,JPM,0.4246936,0.13485129,0.44045508,0.28984234,16,7,2,7,1
2026-08-12,PG,0.5975409,0.016273553,0.3861855,0.5812674,3,2,0,1,1
2026-08-12,XOM,0.15464514,0.318349,0.52700585,-0.16370386,4,1,1,2,1
2026-08-13,AAPL,0.3333838,0.18526454,0.48135164,0.14811924,37,12,6,19,1
2026-08-13,JNJ,0.5255771,0.27082622,0.20359664,0.25475088,7,4,2,1,1
2026-08-13,JPM,0.40910378,0.2584699,0.3324263,0.15063386,19,8,5,6,1
2026-08-13,PG,0.49985555,0.010402477,0.48974198,0.48945308,1,1,0,0,1
2026-08-13,XOM,0.30722558,0.48353755,0.20923688,-0.17631198,6,2,3,1,1
2026-08-14,AAPL,0.28009105,0.17889369,0.5410152,0.10119737,27,8,4,15,1
2026-08-14,JNJ,0.2267403,0.081889965,0.6913697,0.14485033,6,1,0,5,1
2026-08-14,JPM,0.26268944,0.35884935,0.3784612,-0.09615989,13,3,5,5,1
2026-08-14,META,0.085295476,0.053834915,0.8608696,0.031460565,2,0,0,2,1
2026-08-14,MSFT,0.33121097,0.18775953,0.48102948,0.14345145,32,10,6,16,1
2026-08-14,PG,0.028143905,0.36328757,0.60856855,-0.33514366,4,0,1,3,1
2026-08-15,AAPL,0.46181273,0.1477914,0.39039588,0.31402135,5,2,1,2,1
2026-08-15,MSFT,0.028177202,0.55682826,0.41499448,-0.52865106,1,0,1,0,1
2026-08-16,AAPL,0.24836199,0.1893749,0.56226313,0.058987103,5,1,1,3,1
2026-08-16,GOOGL,0.33357146,0.13041978,0.5360088,0.2031517,4,1,0,3,1
2026-08-16,JNJ,0.15483846,0.041902617,0.80325896,0.11293583,2,0,0,2,1
2026-08-16,JPM,0.47731826,0.015113513,0.50756824,0.46220475,2,1,0,1,1
2026-08-16,META,0.5181487,0.25530374,0.22654751,0.26284498,4,2,1,1,1
2026-08-16,MSFT,0.26330417,0.018891608,0.7178042,0.24441257,5,1,0,4,1
2026-08-16,XOM,0.8810979,0.008792378,0.110109754,0.8723055,1,1,0,0,1
2026-08-17,AAPL,0.30648535,0.13689667,0.556618,0.16958869,18,5,2,11,1
2026-08-17,AMZN,0.35166597,0.1336433,0.5146907,0.21802267,18,5,2,11,1
2026-08-17,GOOGL,0.43456897,0.16361216,0.40181884,0.2709568,33,16,4,13,1
2026-08-17,JNJ,0.33679554,0.064449884,0.59875464,0.27234563,3,1,0,2,1
2026-08-17,JPM,0.24102296,0.4311537,0.32782337,-0.19013073,7,1,3,3,1
2026-08-17,META,0.352388,0.36299652,0.2846155,-0.010608499,28,12,10,6,1
2026-08-17,MSFT,0.39058033,0.18459043,0.42482927,0.20598987,27,11,4,12,1
2026-08-17,PG,0.95205545,0.02203488,0.025909621,0.9300206,2,2,0,0,1
2026-08-17,XOM,0.48106158,0.21860725,0.30033115,0.26245433,4,2,1,1,1
2026-08-18,AAPL,0.25023398,0.26397964,0.48578635,-0.013745657,14,3,4,7,1
2026-08-18,AMZN,0.41871843,0.21172933,0.36955225,0.20698906,22,12,4,6,1
2026-08-18,GOOGL,0.27003863,0.37689418,0.35306722,-0.10685552,22,6,10,6,1
2026-08-18,JNJ,0.25379974,0.27085572,0.47534457,-0.017055988,4,1,1,2,1
2026-08-18,JPM,0.03943076,0.13417926,0.82638997,-0.094748504,1,0,0,1,1
2026-08-18,META,0.12981339,0.36727333,0.5029133,-0.23745994,23,2,9,12,1
2026-08-18,MSFT,0.26070872,0.21889074,0.5204005,0.041817963,15,4,3,8,1
2026-08-18,XOM,0.68280655,0.25748998,0.05970347,0.42531657,4,3,1,0,1
